Elapsed time (s),Requests per second
0.253,12871
0.503,32918
0.755,46390
1.004,47773
1.255,55247
1.503,54877
1.754,53013
2.002,62696
2.254,63438
2.505,68994
2.754,75296
3.002,79549
3.253,86749
3.500,84455
3.754,62788
4.003,71395
4.254,83444
4.503,88125
4.754,92333
5.004,88145
5.253,65893
5.504,89369
5.754,49742
6.005,97041
6.250,88041
6.503,89060
6.752,109885
7.004,101003
7.253,98399
7.503,92731
7.752,61382
8.005,90889
8.253,101026
8.503,98445
8.752,110957
9.005,102733
9.255,109211
9.502,107687
9.753,108295
10.002,115292
10.252,112888
10.501,113693
10.753,104070
11.002,108357
11.253,115529
11.503,94331
11.752,110794
12.004,112246
12.255,114411
12.505,88155
12.753,116126
13.004,116224
13.252,119497
13.504,111280
13.751,113509
14.002,116467
14.253,113737
14.503,117632
14.754,116497
15.004,118628
15.255,114992
15.503,117099
15.752,110819
16.005,115119
16.253,117199
16.505,118154
16.753,115303
17.005,90526
17.251,110523
17.504,108563
17.753,112914
18.003,117526
18.254,115568
18.505,116542
18.755,121524
19.005,91696
19.250,119405
19.503,116901
19.753,120149
20.005,118136
20.251,111474
20.500,115937
20.754,114456
21.002,115209
21.255,116262
21.502,118579
21.754,109134
22.005,118736
22.250,118847
22.504,115053
22.752,111503
23.005,116921
23.253,114643
23.503,116960
23.751,118300
24.002,119137
24.253,116293
24.505,117975
24.752,117937
25.005,115325
25.255,120854
25.505,121602
25.754,114642
26.004,118798
26.253,118542
26.501,116646
26.753,116166
27.001,116443
27.250,87254
27.505,118832
27.754,93422
28.001,117579
28.255,115929
28.503,119747
28.755,119557
29.002,114847
29.253,118087
29.505,117656
29.755,115735
30.005,117291
